qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q113115836,crime and social justice,Q161733,criminology,,,,,,,,,,,,,,
Q855848,crime prevention,Q44554|Q1717246,law enforcement|prevention,Q1419660,societal defense,,,,7501992-9,sh85034011,,300055267,,,,HV7431-HV7434,
Q18629568,crime victim assistance,Q1643184,help,,,Q810235|Q29584363|Q707748,psychosocial aid|human health activities|legal aid,,,,,,,,,,
Q3624786,criminal anthropology,Q6656244,anthropometry,,,,,,,sh85034032,364.2,,,,,,
Q106597211,criminal justice,,,,,,,,,,,,,,,,
Q146491,criminal law,Q7748,law,Q7748,law,Q2621792|Q578241|Q7079040|Q838247|Q19705,element|inchoate offense|offence against the person|defense|criminal code,,4057795-8,sh85034058,345,300054415,00023819n,CriminalLaw,,,
Q5366855,criminal law studies,Q382995,legal science,,,,,,,,,,,,,,
Q11873015,criminal policy,Q546113|Q1573035,public policy|domestic policy,,,,,,,,,,,,,,
Q43504,criminalistics,Q7991,natural science,,,Q495304,forensic science,,4033177-5,,,,,,,,
Q113115842,criminological theories,Q161733,criminology,,,,,,,,,,,,,,
Q161733,criminology,Q34749,social science,,,Q110965311|Q60761185|Q4915287,rural criminology|public criminology|biosocial criminology,,4033197-0,sh89002994,364,300054356,,Criminology,,HV6001-HV7220.5,
Q5281349,crisis informatics,Q4027615,informatics,,,,,,,,,,,,,,
Q1141276,crisis management,Q189447,risk management,,,Q5281359|Q1460420,disaster risk reduction|emergency management,,4127374-6,sh85034122,658.4056,,02836923n,,,HD49-HD49.6,
Q118875373,critical autism studies,,,,,,,,,,,,,,,,
Q5186702,critical cartography,Q42515|Q301751,cartography|critical sociology,,,,,,,,,,,,,,
Q1789506,critical criminology,Q161733,criminology,,,,,,,,,,,,,,
Q28455673,critical data studies,,,,,Q45029591|Q16954558,big data ethics|datafication,,,,,,,,,,
Q5186720,critical geopolitics,,,Q159385,geopolitics,,,,,,,,,,,,
Q97161513,critical museology,Q460162,museology,,,,,,,,,,,,,,
Q131295143,critical policing studies,Q110353090|Q1999851|Q37445,critical social theory|normative science|police science,,,,,,,,,,,,,,
Q108352437,critical race studies,Q1143546,cultural studies,,,,,,,,,,,,,,
Q5186753,critical race theory,,,,,Q1516555,intersectionality,,,,,,,,,,
Q110353090,critical social theory,Q1990987,social theory,,,,,,,,,,,,,,
Q301751,critical sociology,Q1377163|Q1639471|Q119007932|Q110353090|Q44850682,sociological theory|Marxist philosophy|sociological methodology|critical social theory|normative sociology,Q151843|Q4455170|Q1144757,Frankfurt School|social conflict theory|Marxist sociology,,,,4073840-1,,,300054454,03624579n,CriticalTheory,,,
Q17955,criticism,Q3059502,critique,,,,,,4033229-9,,,300055851,00023869n,Criticism,,,
Q3059502,critique,Q1749541,commentary,Q5891|Q8242,philosophy|literature,,,,4033229-9,,,,00023868n,Critique,,,
Q114342310,croatology,Q1143546|Q21201|Q1066186|Q6497044,cultural studies|sociology|study of history|history of literature,,,,,,,,,,,,,,
Q235352,crop,Q317088|Q1138571|Q11992872,commodity|renewable resource|useful plant,Q1362373,cultigen,,,,4123194-6,sh85034249,633,,00023932n,Crop,,,
Q112940050,crop and pasture improvement,Q110252479,crop and pasture production,,,,,,,,,,,,,,
Q111326835,crop and pasture nutrition,Q1402889|Q2138622|Q488798,agriculture|nutrition|cultivation,,,,,,,,,,,,,,
Q110252479,crop and pasture production,Q110231626,"agricultural, veterinary and food sciences",,,Q1283714,crop production,,,,,,,,,,
Q113041955,crop and pasture waste water use,Q110252479,crop and pasture production,,,,,,,,,,,,,,
Q1283714,crop production,Q739302,economic production,Q11451|Q110252479,agriculture|crop and pasture production,,,,4045547-6,,,,,,,,
Q64822370,crop science,,,Q173113,agronomy,,,,,,,,,,,,
Q2976167,cross-cultural psychiatry,Q7867,psychiatry,Q7867,psychiatry,,,,,,,,,,,,
Q621368,cross-cultural studies,,,,,,,884159,4114328-0,sh99002995|sh85034273,,,,CrossCulturalStudies,,,
Q124628194,crowdsourced science,Q1093434,citizen science,,,,,,,,,,,,,,
Q275969,crowdsourcing,Q1056396,human resource management,,,,,,,sh2017004056,,,,,,,
Q672832,cryobiology,Q420,biology,,,,,,,,,,,Cryobiology,,,
Q132583791,cryoenzymology,Q2880775|Q672832,enzymology|cryobiology,,,,,,,,,,,,,,
Q117613435,cryostratigraphy,,,,,,,,,,,,,,,,
Q8789,cryptography,Q365674|Q2695280,security engineering|technique,Q1430062,cryptology,Q471906|Q7233576|Q327675|Q201339,quantum cryptography|post-quantum cryptography|symmetric-key algorithm|public-key cryptography,,,sh85034453,652.8,300389758,00024180n,Cryptography,,,
Q1430062,cryptology,Q28797,applied science,Q21198,computer science,Q897511|Q8789,cryptanalysis|cryptography,,4033329-2,,,300389757,,,,,
Q160398,crystallography,Q2346|Q83353|Q228736,analytical chemistry|mineralogy|materials science,,,,,884652,4033217-2,sh85034498,548,300251565,,Crystallography,,,
Q64811480,culinary arts,,,,,,,,,,,,,,,,
Q488798,cultivation,Q1283714|Q120986333,crop production|plant cultivation,,,,,,,,,,,,,,
Q13586578,cultural analysis,Q217602,analysis,,,,,,,,,,,,,,
Q28598,cultural anthropology,Q23404,anthropology,Q21505779,social and cultural anthropology,,,,4133903-4,,305.8,,,CulturalAnthropology,,,
Q1791627,cultural artifact,Q16686448|Q210272,artificial object|cultural heritage,,,,,,,,,300265421,00936440n,,,,
Q5193267,cultural communication,Q11024,communication,,,,,,,,,,,,,,
Q1458822,cultural ecology,Q23404|Q7150,anthropology|ecology,,,,,,4588310-5,,,,,,,,
Q1041282,cultural economics,Q8134,economics,Q8134,economics,,,,,,,,,,,,
Q29585976,cultural education,Q29584851,other education,Q112122609,class in NACE rev.2 classification of productive activities,Q27908|Q1757598|Q5215234|Q6031015|Q14517056,music education|visual art education|dance education|theater arts education|photography school,,,,,,,CulturalEducation,,,
Q3151005,cultural engineering,,,,,,,,,,,,,,,,
Q210272,cultural heritage,Q2434238,heritage,Q11042,culture,,,885014,,,,300265422,,CulturalHeritage,,,
Q572824,cultural heritage management,Q2920921|Q2251595,management|protection,Q2916316,cultural resources management,,,,4011457-0,,,300379386,,ArtGalleryMuseumCuration,,,
Q858517,cultural history,Q1066186|Q1143546|Q309,study of history|cultural studies|history,,,,,,7503708-7,,,,,,,,
Q997515,cultural institutions studies,,,,,,,,4309943-9,,,,,,,,
Q48785284,cultural management,Q3249551,process,,,,,,,,,,,,,,
Q1645704,cultural mediation,,,,,,,,,,,,,,,,
Q2198855,cultural movement,Q3533467|Q49773,group action|social movement,,,,,,,,,,00024366n,,,,
Q5193391,cultural neuroscience,,,,,,,,,,,,,,,,
Q1711347,cultural policy,Q828395,social policy,Q7163,politics,,,,4033581-1,sh85034748,,,03794045n,,,,
Q63455756,cultural production and landscape studies,,,Q501841,University of Turku,,,,,,,,,,,,
Q2916316,cultural resources management,Q48785284|Q1047113,cultural management|field of study,,,,,,,,,,,,,,
Q136805602,cultural rhetorics,Q81009|Q1143546,rhetoric|cultural studies,,,,,,,,,,,,,,
Q1143546,cultural studies,Q23010558|Q80083|Q23404,"area, ethnic, cultural, gender, and group studies|humanities|anthropology",Q113128675,"language, communication, and cultural studies",Q1662673|Q3621186,gender studies|Arabic studies,,4033597-5,sh93005685,306,,03422672n,CulturalStudies,,HM623|GN345.7,
Q113128260,cultural studies of nation and region,Q1143546,cultural studies,,,,,,,,,,,,,,
Q11042,culture,Q2515887,pattern of behavior,,,Q5193405|Q3769299|Q8205328|Q5390013|Q735,cultural rights|human behavior|artificial physical object|belief system|art,,4125698-0,sh85034755,306,300055768,01187943n,Culture,,,
Q115161035,culture and society,,,,,Q11042|Q8425,culture|society,,,,,,,,,,
Q1103954,culture of Canada,Q13152690,culture of the Earth,,,,,,,,,,,,,,
Q1985804,culture of France,Q13152690,culture of the Earth,,,,,,,,,300111188,03887748n,FrenchCulture,,,
Q108605239,culture of the Pacific Islands,Q33094180,culture by humans,Q110408063|Q23581531,"Pacific Peoples culture, language and history|Oceanian culture",,,,,,,,,,,,
Q1044835,culture of the United States,Q13152690,culture of the Earth,,,,,,,sh85140527,,300107956,,AmericanCulture,,E161,
Q64899361,culture studies,,,,,,,,,,,,,,,,
Q1791882,culture theory,Q1990987,social theory,,,,,,4120627-7,,,,,,,,
Q1418771,culturology,Q34749,social science,,,,,,,,,,,,,,
Q98641248,curatorial studies,,,,,,,,,,,,,,,,
Q207137,curriculum,Q1371819|Q5341296,plan|educational program,Q8434,education,,,902556,4010781-4,sh85040999,375,300028009,00023295n,Curricula,,LB1570-LB1571,
Q157416,curriculum and instruction,Q8434,education,,,,,,,,,,,,,,
Q110542446,curriculum and pedagogy,Q7922,pedagogy,,,Q207137|Q7922,curriculum|pedagogy,,,,,,,,,,
Q16911265,curriculum development,Q268592|Q8434,industry|education,Q352842|Q112976895,teaching|Curriculum and pedagogy theory and development,,,,,,,,,,,,
Q5195144,curriculum studies,,,,,,,,,,,,,,,,
Q5195145,curriculum theory,Q17737|Q207137,theory|curriculum,Q112976895,Curriculum and pedagogy theory and development,,,,,,,,,,,,
Q1120057,cyber-physical system,Q81456601|Q81457224|Q1639361|Q994895,cyber-entispheral system|Interspheral System|sociotechnical system|technical system,,,,,,,,,,,,,,
Q120910067,cyber-physical systems,,,,,,,,,,,,,,,,
Q124703956,cybercartography,Q42515,cartography,,,,,,,,,,,,,,
Q65770356,cybermetrics,Q355654,informetrics,,,,,,,,,,,,,,
Q123637,cybernetics,Q682496,systems engineering,Q6501221,control theory,Q183635|Q5582892,feedback|good regulator theorem,,4033888-5,sh85035046,003.5,300054473,,Cybernetics,,Q300-Q390,
Q2905785,cyberpsychology,Q9418,psychology,,,,,,,,,,02029528n,,,,
Q17233037,cybersecurity,Q21198|Q124102257|Q189900,computer science|cybersecurity industry|information security,Q113208012,cybersecurity and privacy,Q3510521|Q7305396|Q28457404|Q989632|Q456632|Q85754890|Q60748006|Q27628045|Q107658626|Q115524140|Q54366659|Q55624756|Q21015651|Q899388|Q5276156|Q25102376|Q102056744|Q106959539|Q370563|Q114965946|Q3246940|Q42552707|Q21015574|Q131107696|Q126895628|Q5322616|Q58330039,computer security|red team|blue team|network security|information privacy|cybersecurity rating|National Cybersecurity Authority|NIST Cybersecurity Framework|European Cybersecurity Competence Centre|malware detection|Berklett Cybersecurity|National Initiative for Cybersecurity Education|Centre for Cybersecurity & Cybercrime Investigation|data security|digital security|cyber resilience|Data Sanitization to Reduce Private Information Leakage from Functional Genomics|data sanitization|cloud security|Cyber-Security Incidents: A Review Cases in Cyber-Physical Systems|digital forensics|Spanish Cybersecurity Research Conferences|National Cybersecurity FFRDC|European Cybersecurity Challenge|Cybersecurity system having digital certificate reputation system|EC-Council|Basque Cybersecurity Culinary Centre,,,,,,09720472n,,,,
Q113208012,cybersecurity and privacy,Q21198,computer science,,,Q17233037|Q456632,cybersecurity|information privacy,,,,,,,,,,
Q100326540,cybersecurity engineering,Q11023|Q3510521|Q80993|Q365674,engineering|computer security|software engineering|security engineering,,,,,,,,,,,,,,
Q465924,cynology,,,Q431,zoology,,,,4139767-8,,636.7,,,,,,
Q104774297,cypress swamp ecology,Q104200524|Q7150,swamp ecology|ecology,,,,,886131,,sh85035170,,,,,,QH541.5.C95,
Q131626874,cytherology,Q104499,planetary science,Q104499,planetary science,,,,,,,,,,,,
Q3009543,cytoarchitecture,,,,,,,,,,,,,,,,
Q115254236,cytobacteriology,Q3009579|Q243748,cytology|bacteriology,,,,,,,,,,,,,,
Q3009579,cytology,Q420,biology,Q7141,cell biology,Q115254236,cytobacteriology,,,sh85035240,,,,,,,
Q113884152,cytomorphology,Q3009579|Q183252,cytology|morphology,,,,,,,,,,,,,,
Q122705444,dairy science,Q168091|Q3606845,animal science|agricultural science,,,,,,4169930-0,,,,,,,,
Q5215298,dance science,Q1298380|Q2393450,sports science|dance studies,,,,,,,,,,,,,,
Q2393450,dance studies,Q944537|Q1143546,Geisteswissenschaften|cultural studies,,,,,,7740243-1,,792.8,,,,,,
Q5215311,dance theory,Q17737|Q2393450,theory|dance studies,,,,,,,sh2020007994,,,,,,,
Q1326190,dance therapy,Q1416259|Q838202,body psychotherapy|expressive therapy,,,,,,,sh85035654,,,03547877n,DanceTherapy,,,
Q42848,data,Q11028,information,Q59138835,data base,,,,4135391-2,,1--028557|001.422|005.7|001.4226,300312038,,Data,,,
Q1988917,data analysis,Q217602,analysis,Q485396|Q3353185,analytics|business intelligence,,,,4123037-1,,519.53,,,,,,
Q638422,data architecture,Q6030887|Q872685,information technology architecture|data governance,,,Q872685,data governance,,,,,,,,,,
Q104659521,data engineering,Q2374463,data science,,,Q1276130,"extract, transform, load",,,,,,,,,,
Q21572113,data entry and microcomputer applications,Q166142,application,,,,,,,,,,,,,,
Q42417149,data exploration,,,,,,,,,,,,,,,,
Q872685,data governance,Q1553864|Q1149776,governance|data management,Q1149776,data management,,,,,,,,,,,,
Q5227304,data infrastructure,Q121359,infrastructure,,,,,,,,,,,,,,
Q120910074,data interlinking,,,,,,,,,,,,,,,,
Q1149776,data management,Q579488|Q192581,information management|job activity,,,,,,,,,300379871,,,,,
Q113212528,data management and data science,Q21198|Q16387,computer science|information science,,,Q1149776|Q2374463,data management|data science,,,,,,,,,,
Q2330408,data mapping,Q6723621,machine-readable data,,,,,,,,,,,,,,
Q172491,data mining,Q12772819|Q70708084,discovery|text and data mining,,,,,887946,4428654-5,sh97002073,006.312,,00025325n,DataMining,,QA76.9.D343,
Q48797981,data preservation,Q10418049|Q1479406,archiving|preservation,,,,,,,,,,,,,,
Q23647168,data protection,Q189900,information security,Q113208079,data security and protection,,,887958,,sh85035859,,,,,,,
Q64945680,data protection and privacy law,,,,,,,,,,,,,,,,
Q1757694,data quality,Q185957,quality,,,,,,1036653315,,,,,,,,
Q4368942,data retrieval,Q816826,information retrieval,,,,,,,,,,,,,,
Q2374463,data science,Q336,science,,,,,,,,,,,,,,
Q899388,data security,Q872685|Q189900,data governance|information security,Q113208079|Q17233037,data security and protection|cybersecurity,,,,,,,,,,,,
Q113208079,data security and protection,Q113208012,cybersecurity and privacy,,,Q899388|Q23647168,data security|data protection,,,,,,,,,,
Q175263,data structure,Q494756|Q6671777|Q17176533,data|structure|software component,Q21198|Q748349|Q494823,computer science|mathematical structure|data format,,,,4011146-5,sh85035862,005.73,,00025330n,ComputerDataStructure,,,
Q112936830,data visualisation and computational design,Q2374463,data science,,,Q6504956|Q106195621,data visualization|computational design,,,,,,,,,,
Q6504956,data visualization,Q451553|Q36992151,visualization|representation of data,Q2374463|Q112936830|Q133505171,data science|data visualisation and computational design|data and information visualization,,,,,sh2002000243,001.4226,,,,,,
Q193351,data warehouse,Q1172284|Q2145117,data set|repository,Q61905,management information system,,,,,sh97003695,,,03677969n,,,,
Q8513,database,Q1172284|Q386724|Q59138870|Q494756,data set|work|digital object|data,Q1630548,host,Q42848|Q2470517|Q632285|Q1054115|Q278425|Q1147639|Q59138835|Q176165,data|record|database schema|integrity constraints|database table|data dictionary|data base|database management system,888065,4011119-2|4113276-2,sh86007767|sh99003001|sh99001528,005.74,300028543,00025333n,,,QA76.9.D32,
Q107643461,database management,,,,,,,888037,,,,,,,,,
Q4809258,database theory,,,Q2878974,theoretical computer science,,,,,,,,,,,,
Q16954558,datafication,Q10843872,process,,,,,,,,,,,,,,
Q5243239,daylighting,Q3769912|Q42250|Q5398938,environmental restoration|hydrology|stream restoration,,,,,,,,,,,,,,
Q5244958,de novo protein structure prediction,Q899656,protein structure prediction,,,,,,,,,,,,,,
Q108509507,deaconess studies,Q107508911,theological studies,,,,,,,,,,,,,,
Q5245796,deaf studies,Q1143546,cultural studies,,,,,,,,,,02475409n,,,,
Q188961,decentralization,Q3249551,process,,,,,,4012005-3,,,300055495,,Decentralization,,,
Q111381712,decentralized social network,Q3220391,social networking service,,,,,,,,,,,,,,
Q1331926,decision making,Q781413|Q12888920,cognitive process|selection,,,,,889035,4014904-3,sh85036199,,300054615,,,,,
Q330268,decision support system,Q11660|Q1391080|Q121182|Q8366,artificial intelligence|business software|information system|algorithm,,,,,889080,4191815-0,sh86006549,006.33,,03238389n,,,HD30.213|T58.62,
Q177571,decision theory,Q17737|Q8134|Q12483|Q5862903,theory|economics|statistics|probability theory,Q1888684|Q3919817,practical philosophy|behavioral sciences,,,,4138606-1,,003.56,,,DecisionTheory,,QA279.4-QA279.7,
Q474328,declarative sentence,Q41796,sentence,,,Q108163,proposition,,,,,,,,,,
Q631931,decorative art,Q1078913|Q207241,plastic arts|applied arts,,,,,,,sh85036316,740,300054168|300411641,,,,,
Q50351536,deep-sea biology,Q7173,marine biology,,,,,,,,,,,,,,
Q104774372,deep-sea ecology,Q4530312|Q7150,marine ecology|ecology,,,,,889505,,sh85036380,,,,,,QH541.5.D35,
