qid,label,description
Q107782663,Wikidata property for authority control for sumo wrestlers(Q107782663),type of Wikidata property
Q107782665,Wikidata property for authority control for taekwondo practitioners(Q107782665),type of Wikidata property
Q107782667,Wikidata property for authority control for wrestlers(Q107782667),type of Wikidata property
Q107784814,Wikidata property for authority control for Canadian football players(Q107784814),type of Wikidata property
Q107784819,Wikidata property for authority control for weightlifters(Q107784819),type of Wikidata property
Q107784822,Wikidata property for authority control for poker players(Q107784822),type of Wikidata property
Q107785090,Wikidata property related to poker(Q107785090),type of Wikidata property
Q107785163,Wikidata property related to weightlifting(Q107785163),type of Wikidata property
Q107785166,Wikidata property related to Canadian football(Q107785166),type of Wikidata property
Q107785208,Wikidata property related to contract bridge(Q107785208),type of Wikidata property
Q107785224,Wikidata property for authority control for bridge players(Q107785224),type of Wikidata property
Q107785691,Wikidata property related to Lego(Q107785691),type of Wikidata property
